Região/Unidade da Federação;0201 Coleta de material;0202 Diagnóstico em laboratório clínico;0203 Diagnóstico por anatomia patológica e citopatologia;0204 Diagnóstico por radiologia;0205 Diagnóstico por ultrasonografia;0206 Diagnóstico por tomografia;0207 Diagnóstico por ressonância magnética;0208 Diagnóstico por medicina nuclear in vivo;0209 Diagnóstico por endoscopia;0210 Diagnóstico por radiologia intervencionista;0211 Métodos diagnósticos em especialidades;0212 Diagnóstico e procedimentos especiais em hemoterapia;0214 Diagnóstico por teste rápido;0301 Consultas / Atendimentos / Acompanhamentos;0302 Fisioterapia;0303 Tratamentos clínicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0306 Hemoterapia;0307 Tratamentos odontológicos;0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas;0309 Terapias especializadas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa;0402 Cirurgia de glândulas endócrinas;0403 Cirurgia do sistema nervoso central e periférico;0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço;0405 Cirurgia do aparelho da visão;0406 Cirurgia do aparelho circulatório;0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinário;0410 Cirurgia de mama;0411 Cirurgia obstétrica;0412 Cirurgia torácica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0417 Anestesiologia;0418 Cirurgia em nefrologia;0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante;0502 Avaliação de morte encefálica;0503 Ações relacionadas à doação de orgãos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgãos, tecidos e células;0506 Acompanhamento e intercorrências no pré e pós-transplante;0603 Medicamentos de âmbito hospitalar e urgência;0702 Órteses, próteses e materiais especiais relacionados ao ato cirúrgico;0801 Ações relacionadas ao estabelecimento;0802 Ações relacionadas ao atendimento;Total
Região Norte;2500758,15;1344782,46;12924175,83;19758,6;51286384,76;78197769,79;9671289,25;1016746,22;4114215,4;2801465,24;14248268,8;18343917,84;1383289,75;160902023,3;65262136,02;2266541237;59599514,81;136390814,9;13632492,67;1812,91;68321595,48;24536490,97;988554637,2;156479982;4765449,35;144670439,1;53394107,52;40377697,31;256889286,5;517822253,9;445745043,3;234593228,4;9522962,91;766299851;65913875,3;74746106,97;11986850,2;106460540,9;147675839,2;90909847,91;1677477,82;877639,92;292050;4027346,49;330933,6;31535683,77;6947998,07;28446367,48;438617480;18031037,25;2087149100;9727782054
.. Rondônia;184993,19;77176;913320,93;1325,26;4115887,48;11436280,95;293138,9;3691,01;331810,76;92413,11;290909,18;111509,76;97564,6;29469847,36;8779919,55;262345280,9;6057164,66;21729573,33;1168188,75;37,04;11194570,81;1914207,85;57978983,25;33749703,69;728130,45;13000718,02;3480865,26;4270818,55;6331006,87;43520155,27;40659878,55;22270213,13;702763,32;62508629,27;4679415,24;1562110,9;334191,41;5595370,11;18913207;6286487,4;470038,69;198373,55;61945;373438,41;-;3049954,64;126978,91;2915126,35;18442109,94;851285;282740545,2;996411254,7
.. Acre;123417,92;7917,24;39,82;353,31;2665703,51;3137371,06;40366,25;54,36;208839,57;154419,11;148,68;858185,52;80346;5989457,94;5453774,1;92407322,2;2415405,6;5016662,75;907738,97;-;4913021,81;1830310,5;60503547,4;8530268,61;399622,11;5846413,53;2888533,53;789872,14;7610200,99;28012585,09;22973655,26;7968524,58;584605,38;45373067,7;1657689,56;532968,45;187248,09;3570818,1;6585696,55;4245082,32;8580,69;56183,13;15220;327778,49;-;7564492,28;726862,74;3145807,41;13515469,25;2068200;88148680,87;450048530,5
.. Amazonas;330401,75;606352,03;1151015,59;9268,49;12567848,6;12169557,84;1976914,15;876671,33;597269,29;185623,29;2796466,81;4138607,04;429309,1;27399109,14;6211889,42;386327487,4;8891564,85;22290742,37;2642329,4;1608,54;10425633,91;113117,36;241811656,7;52503914,61;1252932,8;18091041,04;7737014,5;8989136,52;57576266,72;117406351,4;50087096,52;39182947,58;1740627,19;144332968,9;12461140,25;17770060,94;509204,94;6373617,33;38464278,2;21200765,08;229517,95;243542,64;118740;1657332,7;13953,6;5619467,15;407335,76;3825928,24;100847473,6;4552670;460102165,5;1917247936
.. Roraima;204338,19;3096,65;414,58;293,75;3756613,43;539110,9;-;-;49668,62;3912,27;-;966474,72;127424,2;14570776,88;2615423,33;76320810,75;1526409,6;4043970,23;643270,63;5,71;3549781,48;2525,2;47680382,71;3604141;211577,58;2416803,45;1944704,03;335709,18;620554,07;16162749,15;12628340,12;7295784,93;542549,06;29399812,78;2596533,93;390103,52;344395,83;1397304,77;5088183,76;3023736,74;5924,28;-;215;5339,84;-;-;-;808521,27;1220325,48;852853;81376098,49;328876965,1
.. Pará;599248,58;630205,2;8745665,06;7550,99;19921283,58;41221352,62;4844216,18;135360,22;1972293,12;1484994,24;8791218,09;11160058,32;381866;59633840,64;30427154,91;1180400200;28282048,35;65899260,78;6153468,95;59,76;31068632,42;8340815,83;432875434;43558481,2;1345696,52;88560145,74;30603979,49;22457330,48;137404414,9;246050418,1;251152333,7;125230869,7;4379492,46;386514444,7;32534746,14;42601341,62;9479938,36;66788120,67;53857769,96;45782216,45;927578,93;339870,6;82815;1560175,2;244080;15071605,68;5685065,66;10560096,54;217770661,4;8463664,25;913325421,5;4705309002
.. Amapá;14962,4;2148,1;553,27;-;2160721,54;953864,22;-;54,36;18793,76;11645;615,98;664934,88;89980,15;14574811,18;2612945,88;65338358,23;1305266,91;2308226,07;511488,89;-;1680789,92;60;64713877,54;956957,69;309959,12;1171017,54;607871,32;33752,8;15852175,07;18034105,91;9049098,83;9040022,06;562896,67;26165468,04;2447209,57;1348650,71;84860,9;1649166,11;3675928,96;2483360,32;1517,92;-;-;-;-;-;-;663392,22;20759038,81;76280;37923263,74;309860092,6
.. Tocantins;1043396,12;17887,24;2113166,58;966,8;6098326,62;8740232,2;2516653,77;914,94;935540,28;868458,22;2368910,06;444147,6;176799,7;9264180,11;9161028,83;203401778;11121654,84;15102379,32;1606007,08;101,86;5489165,13;12335454,23;82990755,63;13576515,16;517530,77;15584299,78;6131139,39;3501077,64;31494667,94;48635888,99;59194640,28;23604866,42;1010028,83;72005459,59;9537140,61;10540870,83;1047010,67;21086143,84;21090774,76;7888199,6;34319,36;39670;13115;103281,85;72900;230164,02;1755;6527495,45;66062401,55;1166085;223532925,2;1020028273
Região Nordeste;48140413,64;4397431,91;96560362,94;349273,56;155021559,9;349229596,5;62261300,09;8423346,94;30026689,59;33324552,73;102315801,5;109616916,4;4559418,3;483793881,9;474188195,4;8459743082;449635931,3;573152256,4;49354054,09;2011,38;132801802,7;122309628,4;2802369854;406939210,4;19682671,18;517583347,8;238577115,1;285406587,3;1538981103;1888648744;1484456506;1048577673;59760560,12;2218111109;267129885,6;359487833,8;19000799,41;317509828,6;2255340282;250880248,5;14785851,41;14408049,39;2167495;50105812,45;3695079,3;906270714,2;80383486,29;148925404,8;2686348074;41215772,5;8167879381;39843835987
.. Maranhão;2444534,09;24371,44;7192442,52;4805,76;11567899,53;32541553,4;3310162,5;2474,88;959195,95;99966,9;473103,49;7243005,36;543391,75;73510651,2;18402034,67;1126580530;30441978,59;46057295,7;3635490,53;2,48;19669804,65;9432058,54;425029088,1;68311392,59;2488280,24;33378401,82;14967931,04;26389433,06;61817715,86;205299436,7;130293923,1;137125570,3;3848782,59;198424556,7;26131837,15;13968996,89;1053726,17;35047698,21;184229726,5;21304638,39;239491,67;124783,48;52795;767112,81;12780;10961440,64;1001704,01;5603975,97;123679735,7;1381380;743996409,5;3871069498
