Unidade da Federação;2011/Jan;2011/Fev;2011/Mar;2011/Abr;2011/Mai;2011/Jun;2011/Jul;2011/Ago;2011/Set;2011/Out;2011/Nov;2011/Dez;2012/Jan;2012/Fev;2012/Mar;2012/Abr;2012/Mai;2012/Jun;2012/Jul;2012/Ago;2012/Set;2012/Out;2012/Nov;2012/Dez;2013/Jan;2013/Fev;2013/Mar;2013/Abr;2013/Mai;2013/Jun;2013/Jul;2013/Ago;2013/Set;2013/Out;2013/Nov;2013/Dez;2014/Jan;2014/Fev;2014/Mar;2014/Abr;2014/Mai;2014/Jun;2014/Jul;2014/Ago;2014/Set;2014/Out;2014/Nov;2014/Dez;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez
11 Rondônia;87396;91925;105983;116878;103122;107066;96740;104643;90028;94413;91886;77976;91731;95897;112074;99390;96247;94490;87517;88342;84176;88229;93506;86564;102355;104135;131949;132730;132843;134572;144337;153928;159351;178394;164830;154804;162521;143895;161362;164475;174182;167719;169053;174351;172978;163633;160350;153007;161077;162242;188282;184336;200595;197142;191025;187411;193616;198554;189652;194201;201885;194112;225220;229880;248568;253043;225471;220805;215044;245937;200848;206590;217671;229548;274600;256869;254374;240119;245107;251343;241771;259098;243494;251068;269556;238207;286801;259769;298015;263838;276472;285508;269433;282781;291258;273556;286192;301143;316088;310276;323659;307348;313979;320888;302300;312212;307290;300016;315483;302748;247736;236066;274651;284468;294921;324382;271441;242751;187823;86019
12 Acre;69597;63841;72391;70295;77109;67146;75722;76818;74855;74155;68137;67857;72263;72867;86345;73572;74211;69259;72661;64733;71292;74199;65764;57038;63399;59586;67103;69753;59514;61701;72284;71618;65133;75742;69276;64726;71405;64250;72753;74280;77682;71187;73129;82625;67611;78362;79027;71477;76915;73485;82938;81116;79262;82910;77826;85015;81841;86618;83322;82851;84053;75905;87553;82976;91944;87190;89761;84378;76483;75589;70475;78029;82511;74244;84748;66546;76159;87066;88639;84823;86194;80661;73227;69933;73297;67907;77337;74002;84275;82869;78976;79493;71759;74020;57806;57956;73547;65049;68716;80233;81455;83029;78270;83685;76713;89051;84370;72121;85117;82381;72231;60315;59141;66821;83363;76420;66818;65637;44968;22590
13 Amazonas;142179;141961;169230;166767;157297;154510;149105;155718;144400;150765;145924;119163;146688;124154;160989;157208;174237;153147;155030;138993;127273;139807;129654;114205;139672;118453;128089;118849;121111;114928;121082;118543;122697;125819;119409;105742;117589;104492;127410;140578;146089;142247;148541;144082;143557;169795;157774;149839;172533;158963;182222;180650;190687;195836;200914;187990;192145;190858;156910;155421;172115;168748;187712;183117;183148;175104;177827;181270;169726;185863;170674;185126;197277;182874;200714;209310;232226;236326;239292;240691;246088;250691;253532;253638;274655;244573;281696;287865;305753;293097;306609;309309;290589;312293;293978;287731;314619;294676;327876;320681;331891;318242;334160;324978;322775;335589;306504;300601;339721;320614;312122;302216;331249;338799;377492;389614;386364;365589;238533;95893
14 Roraima;42280;33079;39627;39218;43948;52609;51938;47511;49727;50667;48220;43599;43209;47968;49111;47744;54026;49678;52340;51265;42055;30661;41654;37185;41886;40199;48641;50239;55075;64555;61740;55692;52185;55173;52894;46031;51031;40164;48963;49629;58027;60199;58973;56816;55599;56923;56992;49520;51599;43841;52428;54638;60341;71314;75584;72381;68474;63581;60497;60600;66859;61143;67164;66010;68858;79374;76753;75689;69465;68661;67432;76896;88551;78676;93474;84394;92442;91060;86290;91461;92744;87156;84703;83279;85847;75314;89704;88074;100741;107916;112803;110731;93298;101705;88492;87190;90256;84985;94824;91154;96270;97965;115294;128374;122447;120688;115191;104918;121217;112526;104145;76506;93489;94260;102271;101795;92266;100001;86246;47989
15 Pará;436235;409314;452168;438946;440527;414258;398730;427694;433257;437761;429198;415085;445340;415300;459175;425918;450517;398409;375193;394970;405406;415162;392977;373203;427985;398415;446333;478675;484603;446936;459386;456606;437023;454374;428276;413128;463340;423010;467548;474824;479776;464030;482483;490623;481004;473544;477256;463473;485672;447312;538626;516359;535557;505239;507502;487476;496959;499273;464003;475360;513063;489089;571421;530437;549304;533095;542830;574767;591391;558056;542449;519645;578317;519122;627943;565226;623602;584837;602741;613002;593994;593181;597431;558408;607434;548679;644091;647298;654327;636485;634150;652247;618467;648960;593328;597843;621184;580544;598912;543409;533020;475768;660668;655927;646471;661631;636842;638306;656072;628230;604745;490014;645442;676670;688172;667302;609600;570404;403743;211934
16 Amapá;56030;47232;62947;70741;68299;61005;60040;61822;57935;61972;57217;54363;58667;55867;63726;70065;77814;69626;69136;70488;58930;65935;58424;50422;62542;64094;75394;72492;76615;76291;75295;74330;70971;80645;69376;58420;73553;71217;70792;77112;75325;74913;76328;70899;74844;73117;62000;47900;56216;56979;72298;66552;74420;79748;73468;68878;69335;65535;64215;55683;58347;57213;71116;70889;75170;75232;74988;64751;59335;61770;55163;49339;59003;56779;70510;69300;76422;76537;78796;70221;68522;60037;55237;43089;66266;60318;70829;72703;87255;91290;99703;97198;87557;94791;85238;79728;88680;96917;108672;117759;105476;108540;107834;90024;95410;100691;88630;75804;75246;67557;62825;46778;56853;65022;74990;75271;64977;67368;26188;11634
17 Tocantins;135973;124557;153319;140721;139041;136338;129629;139141;126913;127643;132482;124430;133419;126978;148899;146775;146447;141359;146735;146082;137611;145298;136120;141104;136472;133803;155710;159003;154025;147723;147907;142439;151228;150957;148181;136464;157041;146983;162614;161174;173108;169688;171809;172052;162658;168883;138679;147451;139051;138293;164613;165169;159854;161789;139208;150216;144163;145937;120382;109072;128401;134714;153364;155524;157590;148703;147356;153579;139162;138028;133934;145829;146650;152416;190552;155872;164650;166675;149650;152139;128584;129563;116895;131995;132998;115332;128804;128993;141082;123600;125851;116208;115963;129095;130944;132913;134473;136698;155872;171212;157574;154812;150520;156753;157453;160549;171020;174121;179282;175912;158596;138834;146850;153975;154187;124549;97466;52038;16930;10503
21 Maranhão;308396;297392;323040;316426;311376;300899;298539;321183;298793;312144;304852;305380;345333;320158;374313;368640;394077;356629;373251;374735;352648;353371;343793;332352;432463;369128;412358;426052;454722;418293;439614;438525;439742;483252;440180;443343;496358;455130;501000;500419;509973;486788;499548;505275;478976;500201;479194;452951;506354;463890;565171;553787;540426;515470;551776;560662;543802;561466;544178;518383;569672;561316;614558;621164;637648;613724;619389;648579;609485;592204;553310;541563;623770;599792;704053;675619;730754;697466;712579;729997;684454;708289;688498;686278;753278;672973;794477;788509;822189;784445;820054;856339;826373;843075;773938;773854;835917;768864;867270;848124;889226;820692;863738;844444;831109;817744;796238;791728;832991;765378;752538;582654;751327;819139;858621;855467;821538;775013;550138;254348
22 Piauí;240468;194148;210392;204975;195982;186418;185769;196498;187112;196678;190395;175153;199882;179971;204548;191900;221106;194692;209335;215720;203664;212556;195435;188387;224655;200923;228633;246067;231000;236604;228952;220422;213950;225005;219392;193280;236585;211574;230448;234858;249955;234635;250563;251155;243514;242508;222692;229944;235962;224858;264186;266433;258667;266508;268462;274010;274168;280599;267801;254893;292181;281776;312799;305846;310955;311720;307223;330436;321098;311833;300164;299956;327329;289508;343532;329782;354002;321576;317376;315604;308530;324296;315070;297872;315648;276313;316442;325971;348705;338983;334661;343733;326499;354087;331320;312453;336986;317484;352027;359873;374205;350277;366627;373468;377302;398723;360593;343054;378109;349231;318089;273223;314610;329883;403090;391589;383177;332605;253152;120951
23 Ceará;607461;651767;728833;709296;707316;664102;649507;688661;672094;690645;633179;622592;655440;598894;698961;725223;724555;664373;647737;670204;621292;655757;635313;609666;693630;645189;699787;744342;740138;669987;676650;699211;678117;701089;665082;666714;736226;678537;759696;804179;842008;794112;791735;801390;783137;808127;745907;765094;765082;705779;812530;851216;854657;825785;820551;822046;775313;821586;747271;714520;744518;743266;820514;803439;806699;812436;752949;760941;708876;711023;707237;689853;758698;711094;847838;784200;798290;771288;769884;798934;775809;811953;747503;726365;787659;714446;816577;880760;884149;884572;865285;896677;815378;907260;829113;807051;912765;890482;946434;953900;1062444;924945;997172;930639;946424;1010505;955149;927516;1031772;953014;907171;750646;913416;952547;1017996;966365;924464;789922;522628;201642
