 Projeção da População do Brasil por sexo e idade simples: 2000-2060
População residente por Ano e Faixa Etária 2
Período:2011-2020
"Ano";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"2011";15587805;16695060;17225082;17153030;35028394;30836584;25413209;19075145;11450616;6136198;2795895;197397018
"2012";15363958;16469622;17206777;17143273;34850594;31566134;25726603;19707179;11968232;6324432;2915658;199242462
"2013";15147056;16240430;17144166;17141387;34622971;32298433;26030557;20330396;12514082;6524142;3039094;201032714
"2014";14938133;16009509;17036612;17144248;34404196;32957427;26362474;20927345;13074884;6744057;3169677;202768562
"2015";14737740;15779109;16892243;17140200;34233231;33493662;26746623;21486956;13641753;6990107;3309025;204450649
"2016";14545488;15551873;16672044;17166564;34109255;33913740;27177692;22011315;14213595;7261587;3458279;206081432
"2017";14360778;15329961;16447927;17150098;34038050;34216865;27650731;22501900;14786743;7557969;3619907;207660929
"2018";14182966;15114823;16220015;17089362;34008604;34408072;28171378;22957419;15362756;7881840;3789567;209186802
"2019";14011332;14907522;15990363;16983733;33996173;34503246;28746122;23377297;15946086;8236034;3961105;210659013
"2020";13845258;14708594;15761172;16841311;33976082;34516847;29373328;23764121;16537954;8621157;4131551;212077375
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil por sexo e idade para o período 2000-2060
 
