Ano/mês atendimento;Procedimentos com finalidade diagnóstica;Procedimentos clínicos;Procedimentos cirúrgicos;Transplantes de orgãos, tecidos e células;Total
jan/08;302070,64;952896948,6;77841007,06;7027396,83;1038067423
fev/08;304641,88;89196896,96;74945900;8514560,74;172961999,6
mar/08;315593,16;77572837,42;84298993,22;8369272,36;170556696,2
abr/08;327094,95;79292821,04;82589559,46;8128687,78;170338163,2
mai/08;355756,8;81097449,18;83984906,59;7023945,3;172462057,9
jun/08;353111,19;78050276,76;88646239,74;8443368,16;175492995,9
jul/08;380395,68;81051112,85;90425164,58;7713236,95;179569910,1
ago/08;424985,2;80964563,53;90258899,01;8356602,41;180005050,2
set/08;332640,38;81219472,85;89992990,37;8606552,57;180151656,2
out/08;346629,26;86717674,07;94477868,26;10317712,81;191859884,4
nov/08;319611,24;92242199,55;87150690,36;11214765,04;190927266,2
dez/08;226311,06;83890779,53;82230813,86;10746019,06;177093923,5
jan/09;355104,22;89797614,09;91079167,29;11180173,48;192412059,1
fev/09;310898,37;81589663,6;87039004,33;9701718,45;178641284,8
mar/09;399576,46;99299420,41;106058313,2;11254420,9;217011731
abr/09;393549,85;106294629,3;97110721,62;11329207,1;215128107,9
mai/09;368021,23;96993802,23;103235933,8;12307460,22;212905217,5
jun/09;460707,12;97163079,86;103255674,9;11835993,81;212715455,7
jul/09;438923,52;100129021;101641752,4;11869660,64;214079357,6
ago/09;376139,55;98223875,52;106163846,8;10501763,7;215265625,5
set/09;456619,49;98479251,97;104234534,8;11079465,31;214249871,5
out/09;399649,22;95824447,86;107446430,1;12446618,49;216117145,7
nov/09;411696,01;95920293,58;101631421,8;11220560,51;209183971,9
dez/09;286971,86;92596128,03;89592660,25;9681277,6;192157037,7
jan/10;438506,63;98716421,53;101722130;12635735,59;213512793,7
fev/10;368083,79;87939336,15;96060280,77;11420225,7;195787926,4
mar/10;498713,62;107183336,6;117363136,1;14366186,52;239411372,8
abr/10;369654,14;100400625,6;107879904,3;12552745,82;221202929,9
mai/10;376158,21;103739876,1;115904967,2;11901776,03;231922777,5
jun/10;441576,71;102474297,4;108423137,1;12704797,54;224043808,7
jul/10;412875,75;101562670,1;110671322,1;11510862,03;224157730
ago/10;450836,08;117624037,4;119242279,7;11444701,89;248761855,1
set/10;377418,51;101293705,1;111570969,8;10878945,53;224121038,9
out/10;363094,46;113439759,9;111631183;13920148,1;239354185,5
nov/10;476239,24;101179787,1;112138904,8;11844122,82;225639053,9
dez/10;266545,34;98106415,04;99956120,84;12381798,41;210710879,6
jan/11;372745,14;105275927,2;110640041,2;12858166,62;229146880,1
fev/11;446498,85;94859712,44;113690909,6;12662879,57;221660000,4
mar/11;418900,86;107285111,7;119868901,4;13872661,85;241445575,8
abr/11;381098,14;103894053,4;112017951;13627522,93;229920625,6
mai/11;397861,74;107623921,3;129164863,4;13630759,93;250817406,4
jun/11;392797,04;106305600,4;116915761,5;13293328,74;236907487,7
jul/11;293315,32;107881188,6;117606427,8;14508282,94;240289214,7
