Ano de atendimento;Mes atendimento;0101 Ações coletivas/individuais em saúde;0201 Coleta de material;0202 Diagnóstico em laboratório clínico;0203 Diagnóstico por anatomia patológica e citopatologia;0204 Diagnóstico por radiologia;0205 Diagnóstico por ultrasonografia;0206 Diagnóstico por tomografia;0207 Diagnóstico por ressonância magnética;0208 Diagnóstico por medicina nuclear in vivo;0209 Diagnóstico por endoscopia;0210 Diagnóstico por radiologia intervencionista;0211 Métodos diagnósticos em especialidades;0212 Diagnóstico e procedimentos especiais em hemoterapia;0214 Diagnóstico por teste rápido;0301 Consultas / Atendimentos / Acompanhamentos;0302 Fisioterapia;0303 Tratamentos clínicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0306 Hemoterapia;0307 Tratamentos odontológicos;0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas;0309 Terapias especializadas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa;0402 Cirurgia de glândulas endócrinas;0403 Cirurgia do sistema nervoso central e periférico;0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço;0405 Cirurgia do aparelho da visão;0406 Cirurgia do aparelho circulatório;0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinário;0410 Cirurgia de mama;0411 Cirurgia obstétrica;0412 Cirurgia torácica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0418 Cirurgia em nefrologia;0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante;0502 Avaliação de morte encefálica;0503 Ações relacionadas à doação de orgãos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgãos, tecidos e células;0506 Acompanhamento e intercorrências no pré e póstransplante;0603 Medicamentos de âmbito hospitalar e urgência;0702 Órteses, próteses e materiais especiais relacionados ao ato cirúrgico;0801 Ações relacionadas ao estabelecimento;0802 Ações relacionadas ao atendimento
2008;jan;3;497;1800060;22303;93852;22365;14107;558;370;3484;612;74940;45479;9217;2020394;438518;10656163;3576;8181;52955;;1942;35307;17146;24292;195;1784;3804;979;5038;12279;13055;8959;778;14131;1138;990;610;2115;1803;58;605;108;721;3;432;566;20621;27565;16500;293120
2008;fev;;540;1673658;22043;86068;21839;13521;540;480;3286;635;72481;43727;9551;1133277;122939;189487;3278;7678;49298;;1833;39631;17174;13532;223;1752;4054;1042;4775;12363;12793;9387;795;14167;1223;1016;583;2013;1704;76;627;96;679;1;455;537;22260;25713;16738;291201
2008;mar;;625;1936440;24762;104524;24846;14823;652;430;3681;685;81076;49827;10457;1093616;147107;125341;3501;8002;57446;;1950;36229;19403;14637;280;1827;4326;1193;5444;14057;13712;10691;997;15350;1384;1130;672;2137;2088;64;641;99;698;5;468;593;24635;27635;18563;343317
2008;abr;;669;2015181;25157;106879;23636;15113;765;412;3676;734;81647;48047;9876;1182648;155793;131729;3483;7728;54383;;1798;39982;18781;13893;262;1942;4470;1205;5392;13673;13557;10675;1015;14992;1349;1117;765;2167;2030;81;704;100;777;5;492;602;26418;27979;17367;358013
2008;mai;;727;2127411;24899;113751;24646;16035;821;493;3885;826;86266;48190;10417;1197404;178620;124368;3533;8054;56017;;1794;45140;19640;17563;254;1957;4225;1022;5184;13554;13852;9958;969;15134;1396;1126;687;2211;1888;111;696;106;777;3;419;599;29948;28207;17302;369294
2008;jun;;799;2022829;26704;112274;25280;16388;1028;571;3911;941;85329;47029;9767;1122420;183668;122985;3644;8462;56249;;1866;45137;18101;15409;314;2079;4903;1261;5693;14697;14687;11168;1138;14488;1519;1256;773;2190;2280;110;783;109;842;6;570;578;28213;31047;16350;369266
2008;jul;;894;2101631;25886;117739;26397;17279;1002;564;3992;936;87876;49451;9742;1147234;191661;129755;3885;8203;59093;;1905;48709;17581;23315;287;2099;4973;1322;5864;14351;15044;10846;1153;14883;1591;1282;701;1878;2183;87;870;90;881;13;598;636;31666;31206;16076;383594
2008;ago;;1068;2032697;26008;116964;27528;17522;1050;519;3975;845;86842;49673;9422;1098251;188610;147466;3669;7680;55255;;1980;47718;16978;22303;308;2109;5057;1589;5733;14925;14850;11162;1113;14416;1488;1266;702;1156;2189;96;818;109;892;11;560;614;33106;31755;16329;375018
2008;set;;1083;1880670;24792;111893;27001;16781;1052;493;4049;1040;85785;48236;9522;1089998;189231;147229;3649;7864;53301;;2052;47230;17046;24874;334;1982;5141;1756;5866;15043;14748;12084;1194;14934;1461;1245;704;839;2093;110;908;101;807;9;501;667;34401;30218;16625;364597
2008;out;;1113;2000769;26206;118216;27879;16925;1073;470;3870;961;84604;50386;9764;1130194;204012;154038;3627;8417;56464;;2221;51434;16335;30713;296;1969;5309;1939;5948;14995;15411;12066;1166;14473;1596;1277;727;863;2146;103;1055;120;985;7;606;700;39057;30760;15874;387037
2008;nov;;1012;1851443;23033;107482;25653;15751;1053;441;3531;787;76576;43454;9376;944962;175492;234980;3529;7464;48681;;2182;46132;15559;29057;262;1888;4663;1881;5326;13506;13877;10683;1029;13074;1323;1035;674;781;1914;80;1027;103;831;14;581;677;37627;27670;14924;349614
