Ano/mês atendimento;0201 Coleta de material;0209 Diagnóstico por endoscopia;0211 Métodos diagnósticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clínicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa;0402 Cirurgia de glândulas endócrinas;0403 Cirurgia do sistema nervoso central e periférico;0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço;0405 Cirurgia do aparelho da visão;0406 Cirurgia do aparelho circulatório;0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinário;0410 Cirurgia de mama;0411 Cirurgia obstétrica;0412 Cirurgia torácica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante;0503 Ações relacionadas à doação de orgãos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgãos, tecidos e células;0506 Acompanhamento e intercorrências no pré e pós-transplante
jan/08;93946,17;10689,76;197434,71;641263,44;938911661,9;2186267,8;2069070,55;695301,83;8393383,12;649275,96;102362,97;5151374,8;3457874,89;623069,76;25396019,9;9498469,82;11150676,11;3224800,29;331924,78;8469140,06;1446426,83;974797,29;369246,66;3666347,89;3329199,05;;625776,27;;5566777,39;834843,17
fev/08;120174,16;17010,65;167457,07;660602,13;75207055,77;2022139,41;2099213,63;748929,33;8458956,69;662754;132911,4;4753730,5;3678072,06;683533,84;22991404,09;9042568,96;10690966,38;3281277,31;328389,15;8615907,82;1476823,37;965223,62;336780,51;4120989,24;3184567,75;;694476,26;;6914247,37;905837,11
mar/08;112728,64;11227,62;191636,9;724577,27;62331533,3;2273608,64;2042626,62;659695,1;9540796,49;718513,95;140648,59;5231648,14;3878124,93;805997,1;25882225,16;10531300,05;11785363,35;3772396,36;401953,51;9495914,91;1532106,12;1141500,12;360448,94;4905588,75;3715263,24;;681632,15;;6720721,16;966919,05
abr/08;129255,2;14507,27;183332,48;696134,39;64424334,37;2281218,22;2030287,24;635834,44;9225012,38;721896,6;127294,16;5762120,98;3635360,57;865731,44;25199717,26;9750744,96;11407661,18;3682534,67;397354,99;9204644,92;1639338,51;1133105,69;382999,61;5093072,22;3585981,7;;709485,32;;6454868,49;964333,97
mai/08;127848,29;23384,73;204523,78;675796,38;65515613,14;2329677,91;2259067,75;696712,36;9620581,64;717275,77;121973,09;5882628,1;3760227,63;724902,15;24837429,96;10428063,86;12252594,69;3492882,09;395275,36;9390678,08;1893389,19;1144077,52;344678,13;5284364,54;3314466,43;;610090,5;;5365302,4;1048552,4
jun/08;136605,04;32811;183695,15;677954,11;63473899,27;2312548,65;2007171,5;711314;8867389,23;833336,27;155162,45;6045851,22;4241765,02;939180,74;26366669,72;10354222,95;12928620,29;3836825,36;465537,7;8879387,09;1944858,53;1152092,79;397295,34;6240443,02;3864991,25;;742138,76;488;6697888,48;1002852,92
jul/08;114097,97;56171,74;210125,97;697873,81;66312436,62;2595054,49;2149073,27;673441,63;8623233,03;746098,49;139959,97;5710037,34;4476898,86;1096769,92;27647197,79;10638399,63;13214668,1;3741594,54;478393,97;8993624,64;1940743,24;1241149,11;436088,98;6167261,23;3756278,77;;737159,48;2040;5909991,77;1064045,7
ago/08;138169,54;105961,45;180854,21;697985,94;66366474,24;2506169,38;2353825,33;614661,86;8425446,78;758899,15;168020,58;6129726,07;4497439,87;1219297,28;27187750,48;10768493,77;13092236,15;3918339,1;450390,13;8683105,11;1695684,08;1271311,36;399560,93;6313517,1;3705127,85;5103,01;742841,52;2380;6606224,59;1000053,29
set/08;129204,61;10879,51;192556,26;724683,82;66518540,03;2443846,46;2051881,74;904688,79;8575832,01;816645,54;167125,87;5379988,37;4644429,83;1250428,93;27543873,22;10643933,19;12644641,84;4102424,17;486331,63;9100170,88;1671963,7;1242649,51;365921,13;6303227,55;3629235,01;11069,96;685808,09;1360;6765866,71;1142447,81
out/08;160955,34;17848,35;167825,57;747511,69;71829769,32;2616599,05;2270270,7;924925,96;8328597,35;850251,24;158881,74;5972369,42;4384537,8;1423778,65;28851201,86;10846079,37;13289959,11;4179351,1;478541,7;8854053,9;1898451,15;1398176,24;382819,32;7769192,52;3740223,14;20044,11;832834,54;1700;8312060,65;1151073,51
nov/08;136690,33;24377,41;158543,5;728144,58;77596603,92;2545822,3;2135255,27;899267;8337106,48;722042,49;150437,74;6186627,67;3787324,9;1357376,12;26033259,11;10221703,37;12053887,25;3915819,98;438345,01;8252278,32;2087534,95;1118303,87;380569,47;7034500,36;3410679,75;76485,52;705744,52;3957,6;9279676,59;1148900,81
dez/08;103445,59;12459,11;110406,36;683282,71;67682002,98;2368813,16;2255409,08;1201720,07;9699551,53;688917,24;104859,15;5943489,02;3802130,44;1014608,14;22648362,48;10357016,47;11288980,02;3245628,6;350884,12;9236816,16;1807808,56;1316937,51;401259,22;7527857,64;2495259,09;89335,63;485054,31;1101,6;8840792,05;1329735,47
jan/09;166894,61;21607,95;166601,66;724311,49;72269660,64;3016376,51;2642088,74;987669,96;10157506,75;701455,58;131272,23;5985870,41;3400600,08;987062,36;28533484,92;10754705,61;12040004,4;3703030,89;405511,79;9731718,58;1960405,39;1274269,17;399861,8;7816618,84;3253295,24;59775,17;515038,34;3672;9237809,65;1363878,32
fev/09;150100,16;28272,56;132525,65;675254,01;64806520,41;2670376,63;2545222,38;872240,46;10020049,71;669570,59;140363,63;6419355,75;4200103,33;1118453,67;25377536,42;10540961,16;11280727,24;3542280,62;373594,94;9523573,59;1780907,23;1228332,72;376871,99;7498023,91;2968347,54;69252,13;478360,25;2203,2;7976613,6;1175289,27
mar/09;226240,16;19851,14;153485,16;810292,73;79939077,68;3389620,21;2862284,72;1035848,62;11262296,45;846481,68;175814,69;6794835,32;4927755,03;1478195,64;31477137,5;13020144,99;13219632,34;4772615,54;500296,67;10899992,32;2205627,25;1227948,48;514610,01;9792768,42;4204457,34;104034,09;494276,5;3304,8;9386669,41;1266136,1
