Unidade da Federação;02 Procedimentos com finalidade diagnóstica;03 Procedimentos clínicos;04 Procedimentos cirúrgicos;05 Transplantes de orgãos, tecidos e células
Rondônia;33143,7;72426342,14;36451541,31;246687,33
Acre;20924,72;23017473,07;16162077,32;817738,43
Amazonas;11386;134941232,6;75005623,46;254551,68
Roraima;3651,12;26024290,73;10837151,1;3334,88
Pará;117287,73;242674457,7;203032959,7;1048674,57
Amapá;1593,07;17288026,2;10582714,15;
Tocantins;10877,25;43716570,67;34307792;71071,04
Maranhão;35500,37;228808551,8;145088469,1;898947,85
Piauí;64076,16;130369742,4;85455336,78;436263,51
Ceará;117452,24;319570964,6;283040646,4;33312564,56
Rio Grande do Norte;266296,28;121508045,8;155785871,5;5570073,22
Paraíba;58919,66;122087323,4;102937268,6;2861508,17
Pernambuco;478316,44;442579713,5;332729075,6;38251020,56
Alagoas;100388,89;112735430;92483112,56;250689,61
Sergipe;67766,53;73055960,23;46911764,93;206099,29
Bahia;257445,4;479510604,4;419663523,4;14830985,69
Minas Gerais;3664485,65;985423031;841703360,9;66788854,94
Espírito Santo;238198,24;197554364,8;164274888,6;8192062,82
Rio de Janeiro;723223,56;570098906,6;421478059,6;40435639,31
São Paulo;4138497,83;2038595618;1525945654;235631481,1
Paraná;6550931,83;627465010,2;693485111,5;76772530,86
Santa Catarina;2466934,58;332794303;388532694;33435739,4
Rio Grande do Sul;2155746,17;575885444,2;558131052,5;50187725,85
Mato Grosso do Sul;244283,73;111187322;114929337,4;2149782,34
Mato Grosso;24136,6;126734267,1;77809144,26;179943,36
Goiás;232111,17;242764419,1;219919611;8651232,68
Distrito Federal;246196,5;148360935,9;103697267,7;13086622,65
