"Ano/mês";" Idade ignorada";"Ate 30 dias";"30 dias a 1 ano";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 2 anos";"1 a 4 anos";"1 a 11 anos";"2 a 4 anos";"3 a 8 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"5 anos e mais";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 29 anos";"20 a 59 anos";"20 a 25 anos";"20 a 26 anos";"26 a 27 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 12 a 49 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";"Sem discriminação de idade";"Ignorado";" Total"
"1994";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10632368";"5196931";"1644714";"945249";"1029725";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"617036";"0";"129";"0";"437942";"27887";"138659";"200552";"0";"146300";"0";"1560443";"411734";"0";"120";"47156";"0";"332634";"630499";"0";"0";"0";"0";"0";"91366";"0";"677203";"0";"0";"0";"0";"93390";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"156";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1821802";"48817";"2284026";"0";"131086";"1604989";"0";"196";"32167";"0";"30785276"
"1995";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21712555";"6482189";"2738134";"1746352";"1452865";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4790358";"0";"40333";"0";"1099163";"63563";"217835";"77597";"0";"829992";"0";"2202235";"827965";"0";"5";"130745";"0";"474275";"113020";"0";"0";"0";"0";"0";"262893";"0";"1067969";"0";"0";"0";"0";"287453";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2401343";"80794";"2813303";"901147";"192358";"2996938";"0";"29";"56908";"0";"56060350"
"1996";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23883193";"6027504";"1941012";"1173046";"1121886";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9731704";"0";"269";"0";"594575";"57096";"144316";"94468";"0";"978698";"0";"1750319";"765433";"0";"0";"171622";"0";"408511";"109490";"0";"0";"0";"0";"0";"315780";"0";"1057416";"0";"0";"0";"0";"392915";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2140660";"377268";"1994601";"142601";"459483";"3136465";"0";"408958";"56707";"0";"59435996"
"1997";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30891005";"8869348";"2946481";"1792755";"1899003";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26517478";"0";"4481";"0";"1643698";"75905";"205687";"123540";"0";"5607419";"0";"2040836";"2125315";"0";"990910";"234051";"0";"478646";"474754";"0";"0";"0";"0";"0";"230608";"0";"2335553";"0";"0";"0";"0";"539102";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2943539";"0";"0";"2493070";"4317109";"182308";"0";"83949";"0";"100046550"
"1998";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38231143";"10605612";"3134636";"2111903";"2240700";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26385967";"0";"65813";"0";"2727773";"95963";"1152612";"347908";"0";"2835735";"0";"2756909";"1195024";"0";"0";"283056";"0";"2121395";"1800337";"0";"0";"0";"0";"0";"1040981";"0";"6398966";"0";"0";"0";"0";"722343";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1031";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3224607";"0";"0";"2796122";"5592763";"215053";"0";"90484";"0";"118174836"
"1999";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47631268";"13594264";"4474242";"3240901";"3523598";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"27003787";"0";"275195";"0";"3388610";"106027";"1682052";"1275053";"0";"2456109";"0";"3116868";"1219347";"0";"0";"301703";"0";"2241060";"3605681";"0";"0";"0";"0";"0";"2634858";"0";"8812119";"0";"0";"0";"0";"802243";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"336971";"5134";"0";"7296009";"0";"0";"0";"0";"0";"0";"0";"3520478";"0";"0";"3852502";"14660408";"552946";"0";"101455";"0";"161710888"
"2000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55493916";"12381695";"3202255";"2410227";"2390185";"0";"0";"0";"0";"0";"946";"0";"0";"0";"0";"0";"0";"0";"588";"36020882";"7577499";"39137";"1822";"2761798";"107213";"1582895";"850537";"0";"2464390";"0";"1906529";"1068903";"7";"39";"269500";"0";"2697355";"1681690";"0";"0";"2035";"1187";"2035";"193772";"0";"14070100";"5877";"5";"5414";"0";"2064013";"0";"0";"0";"0";"5414";"5414";"0";"5414";"5414";"0";"5414";"906726";"3084653";"3762595";"0";"6332326";"0";"0";"0";"0";"0";"0";"326279";"3197883";"560868";"772926";"3585585";"3191022";"643990";"3520573";"101849";"0";"181268791"
"2001";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54616258";"12097757";"2704492";"2638706";"4131953";"0";"0";"0";"0";"0";"41819";"0";"0";"0";"0";"0";"0";"0";"53029";"28509947";"0";"157586";"66904";"3176040";"165638";"834534";"8156228";"0";"1795812";"0";"1383384";"889787";"8073";"39724";"352514";"0";"1292554";"5686613";"0";"0";"85853";"102530";"540765";"5507912";"0";"7954626";"907296";"2214";"1149853";"0";"2608684";"0";"0";"0";"0";"984654";"108649";"0";"103634";"102095";"0";"102121";"1099575";"3713784";"4733432";"0";"7051558";"0";"0";"0";"0";"0";"0";"284659";"3229484";"780451";"0";"4287049";"768706";"1264400";"4226263";"26893";"0";"180526492"
"2002";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47505825";"10772320";"1988169";"1280122";"1814506";"0";"0";"0";"0";"0";"619602";"0";"0";"0";"0";"0";"0";"0";"74330";"27067281";"0";"54346";"156002";"3091893";"156042";"182777";"6802268";"0";"1839862";"0";"1303268";"794719";"9710";"20993";"360604";"0";"379250";"5223342";"0";"0";"890522";"116152";"939149";"5372411";"0";"1973717";"1240075";"3759";"1726834";"0";"3514521";"0";"0";"0";"0";"1495026";"1183298";"0";"1071622";"88342";"0";"90383";"1100073";"3771581";"3202991";"0";"7255283";"0";"0";"0";"0";"0";"0";"293142";"3220155";"1256263";"0";"5645922";"744818";"1223587";"4436149";"1124";"0";"163354130"
"2003";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40179869";"10757610";"1424482";"908144";"938031";"0";"0";"0";"0";"0";"83029";"0";"0";"0";"0";"0";"0";"0";"89373";"27098244";"0";"39069";"184322";"2996046";"186048";"189493";"3708941";"0";"1539258";"0";"1163298";"808185";"30389";"16097";"280453";"0";"473076";"3378943";"0";"0";"61968";"181131";"82605";"4144781";"0";"2538223";"119755";"4836";"180690";"0";"4121659";"0";"0";"0";"0";"188666";"114586";"0";"81111";"39892";"0";"34099";"1163069";"4212317";"3538140";"0";"8149545";"0";"0";"0";"0";"0";"0";"255904";"3180099";"1101718";"0";"5494220";"596148";"774088";"4578155";"0";"0";"141409805"
