Ano;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF
1994;150.744;22.658;127.265;38.382;440.625;;;395.000;327.096;708.696;192.475;;527.256;;;994.130;;256.603;;;;437.164;;;174.627;209.872;
1995;169.930;57.518;236.612;56.559;552.664;32.559;;482.285;288.726;731.122;257.873;160.631;1.191.428;178.302;237.617;722.003;;397.685;906.575;2.694.310;610.367;529.270;1.096.689;;196.972;590.541;1.297
1996;260.583;45.907;279.674;58.502;722.825;43.911;162.309;567.243;284.130;894.330;303.590;323.476;1.130.697;299.818;242.572;994.587;;411.887;779.704;2.685.627;904.583;476.830;1.011.888;160.964;201.338;574.266;219.000
1997;221.136;78.576;427.850;51.558;890.749;54.202;132.414;700.146;308.842;1.092.139;308.454;399.938;1.127.214;304.852;250.807;1.358.301;1.796.982;378.316;1.409.487;4.052.597;1.258.159;616.029;990.645;261.788;334.670;591.826;258.032
1998;254.228;79.331;430.178;64.159;914.640;80.449;209.755;802.799;348.572;958.365;299.258;390.460;1.121.468;329.757;247.439;1.484.387;1.813.559;440.462;1.519.764;4.325.523;1.056.241;618.793;972.207;282.453;358.484;634.802;289.995
1999;511.993;240.690;1.013.496;139.177;2.585.184;205.472;500.080;2.231.202;1.045.207;3.180.674;983.207;1.294.082;2.953.463;1.086.283;812.313;4.745.022;6.477.184;1.141.437;4.872.715;12.673.295;3.018.261;1.734.001;3.397.620;827.388;907.069;1.805.937;796.601
2000;595.405;245.193;1.198.384;187.080;2.886.309;232.258;557.200;2.453.795;1.208.893;3.403.095;1.048.720;1.381.868;3.297.620;1.196.604;796.246;5.131.168;6.961.244;1.214.667;5.385.808;13.842.017;3.750.742;1.908.182;3.539.671;896.172;1.091.090;2.040.674;820.415
2001;634.672;281.863;1.327.220;162.704;3.182.573;342.676;591.184;2.754.985;1.260.538;3.464.853;1.074.655;1.463.207;3.308.789;1.247.844;804.610;5.641.897;7.888.036;1.233.262;5.263.389;13.526.097;3.771.473;1.929.301;3.605.219;937.187;1.089.117;2.069.557;798.164
2002;603.409;309.201;1.360.736;171.102;3.209.151;256.112;557.207;2.714.036;1.247.873;3.335.843;1.068.538;1.404.985;3.296.188;1.287.595;774.545;5.316.305;6.637.190;1.176.631;5.118.198;12.763.696;3.547.068;1.808.394;3.443.527;856.199;1.056.545;2.055.137;760.178
2003;567.875;300.787;1.270.370;168.107;3.183.958;263.949;529.390;2.698.158;1.175.552;3.134.287;1.044.353;1.320.266;3.220.240;1.217.980;744.964;5.128.938;6.206.032;1.155.743;4.888.554;12.355.211;3.317.332;1.767.949;3.280.867;814.843;1.014.615;1.978.045;776.852
